Lat,Lon,Country
-34.5,19.5,South Africa
-34.5,20.25,South Africa
-34.5,21.0,South Africa
-34.5,21.75,South Africa
-34.5,22.5,South Africa
-33.75,18.0,South Africa
-33.75,18.75,South Africa
-33.75,19.5,South Africa
-33.75,20.25,South Africa
-33.75,21.0,South Africa
-33.75,21.75,South Africa
-33.75,22.5,South Africa
-33.75,23.25,South Africa
-33.75,24.0,South Africa
-33.75,24.75,South Africa
-33.75,25.5,South Africa
-33.75,26.25,South Africa
-33.75,27.0,South Africa
-33.0,18.0,South Africa
-33.0,18.75,South Africa
-33.0,19.5,South Africa
-33.0,20.25,South Africa
-33.0,21.0,South Africa
-33.0,21.75,South Africa
-33.0,22.5,South Africa
-33.0,23.25,South Africa
-33.0,24.0,South Africa
-33.0,24.75,South Africa
-33.0,25.5,South Africa
-33.0,26.25,South Africa
-33.0,27.0,South Africa
-33.0,27.75,South Africa
-23.25,18.75,Namibia
-32.25,19.5,South Africa
-32.25,20.25,South Africa
-32.25,21.0,South Africa
-32.25,21.75,South Africa
-32.25,22.5,South Africa
-32.25,23.25,South Africa
-32.25,24.0,South Africa
-32.25,24.75,South Africa
-32.25,25.5,South Africa
-32.25,26.25,South Africa
-32.25,27.0,South Africa
-32.25,27.75,South Africa
-32.25,28.5,South Africa
-31.5,18.0,South Africa
-31.5,18.75,South Africa
-31.5,19.5,South Africa
-31.5,20.25,South Africa
-31.5,21.0,South Africa
-31.5,21.75,South Africa
-31.5,22.5,South Africa
-31.5,23.25,South Africa
-31.5,24.0,South Africa
-31.5,24.75,South Africa
-31.5,25.5,South Africa
-31.5,26.25,South Africa
-31.5,27.0,South Africa
-31.5,27.75,South Africa
-31.5,28.5,South Africa
-31.5,29.25,South Africa
-31.5,30.0,South Africa
-30.75,18.0,South Africa
-30.75,18.75,South Africa
-30.75,19.5,South Africa
-30.75,20.25,South Africa
-30.75,21.0,South Africa
-30.75,21.75,South Africa
-30.75,22.5,South Africa
-30.75,23.25,South Africa
-30.75,24.0,South Africa
-30.75,24.75,South Africa
-30.75,25.5,South Africa
-30.75,26.25,South Africa
-30.75,27.0,South Africa
-30.75,28.5,South Africa
-30.75,29.25,South Africa
-30.75,30.0,South Africa
-30.0,17.25,South Africa
-30.0,18.0,South Africa
-30.0,18.75,South Africa
-30.0,19.5,South Africa
-30.0,20.25,South Africa
-30.0,21.0,South Africa
-30.0,21.75,South Africa
-30.0,22.5,South Africa
-30.0,23.25,South Africa
-30.0,24.0,South Africa
-30.0,24.75,South Africa
-30.0,25.5,South Africa
-30.0,26.25,South Africa
-30.0,27.0,South Africa
-30.0,27.75,Lesotho
-30.0,28.5,Lesotho
-30.0,29.25,South Africa
-30.0,30.0,South Africa
-30.0,30.75,South Africa
-29.25,17.25,South Africa
-29.25,18.0,South Africa
-29.25,18.75,South Africa
-29.25,19.5,South Africa
-29.25,20.25,South Africa
-29.25,21.0,South Africa
-29.25,21.75,South Africa
-29.25,22.5,South Africa
-29.25,23.25,South Africa
-29.25,24.0,South Africa
-29.25,24.75,South Africa
-29.25,25.5,South Africa
-29.25,26.25,South Africa
-29.25,27.0,South Africa
-29.25,27.75,Lesotho
-29.25,28.5,Lesotho
-29.25,29.25,Lesotho
-29.25,30.0,South Africa
-29.25,30.75,South Africa
-28.5,16.5,Namibia
-28.5,17.25,South Africa
-28.5,18.0,Namibia
-28.5,18.75,Namibia
-28.5,19.5,South Africa
-28.5,20.25,South Africa
-28.5,21.0,South Africa
-28.5,21.75,South Africa
-28.5,22.5,South Africa
-28.5,23.25,South Africa
-28.5,24.0,South Africa
-28.5,24.75,South Africa
-28.5,25.5,South Africa
-28.5,26.25,South Africa
-28.5,27.0,South Africa
-28.5,27.75,South Africa
-28.5,28.5,South Africa
-28.5,29.25,South Africa
-28.5,30.0,South Africa
-28.5,30.75,South Africa
-28.5,31.5,South Africa
-28.5,32.25,South Africa
-27.75,15.75,Namibia
-27.75,16.5,Namibia
-27.75,17.25,Namibia
-27.75,18.0,Namibia
-27.75,18.75,Namibia
-27.75,19.5,Namibia
-27.75,20.25,South Africa
-27.75,21.0,South Africa
-27.75,21.75,South Africa
-27.75,22.5,South Africa
-27.75,23.25,South Africa
-27.75,24.0,South Africa
-27.75,24.75,South Africa
-27.75,25.5,South Africa
-27.75,26.25,South Africa
-27.75,27.0,South Africa
-27.75,27.75,South Africa
-27.75,28.5,South Africa
-27.75,29.25,South Africa
-27.75,30.0,South Africa
-27.75,30.75,South Africa
-27.75,31.5,South Africa
-27.75,32.25,South Africa
-27.0,15.0,Namibia
-27.0,15.75,Namibia
-27.0,16.5,Namibia
-27.0,17.25,Namibia
-27.0,18.0,Namibia
-27.0,18.75,Namibia
-27.0,19.5,Namibia
-27.0,20.25,South Africa
-27.0,21.0,South Africa
-27.0,21.75,South Africa
-27.0,22.5,South Africa
-27.0,23.25,South Africa
-27.0,24.0,South Africa
-27.0,24.75,South Africa
-27.0,25.5,South Africa
-27.0,26.25,South Africa
-27.0,27.0,South Africa
-27.0,27.75,South Africa
-27.0,28.5,South Africa
-27.0,29.25,South Africa
-27.0,30.0,South Africa
-27.0,30.75,South Africa
-27.0,31.5,eSwatini
-27.0,32.25,South Africa
-27.0,33.0,South Africa
-26.25,15.0,Namibia
-26.25,15.75,Namibia
-26.25,16.5,Namibia
-26.25,17.25,Namibia
-26.25,18.0,Namibia
-26.25,18.75,Namibia
-26.25,19.5,Namibia
-26.25,20.25,South Africa
-26.25,21.0,Botswana
-26.25,21.75,Botswana
-26.25,22.5,South Africa
-26.25,23.25,South Africa
-26.25,24.0,South Africa
-26.25,24.75,South Africa
-26.25,25.5,South Africa
-26.25,26.25,South Africa
-26.25,27.0,South Africa
-26.25,27.75,South Africa
-26.25,28.5,South Africa
-26.25,29.25,South Africa
-26.25,30.0,South Africa
-26.25,30.75,South Africa
-26.25,31.5,eSwatini
-26.25,32.25,Mozambique
-26.25,33.0,Mozambique
-25.5,15.0,Namibia
-25.5,15.75,Namibia
-25.5,16.5,Namibia
-25.5,17.25,Namibia
-25.5,18.0,Namibia
-25.5,18.75,Namibia
-25.5,19.5,Namibia
-25.5,20.25,South Africa
-25.5,21.0,Botswana
-25.5,21.75,Botswana
-25.5,22.5,Botswana
-25.5,23.25,South Africa
-25.5,24.0,Botswana
-25.5,24.75,Botswana
-25.5,25.5,Botswana
-25.5,26.25,South Africa
-25.5,27.0,South Africa
-25.5,27.75,South Africa
-25.5,28.5,South Africa
-25.5,29.25,South Africa
-25.5,30.0,South Africa
-25.5,30.75,South Africa
-25.5,31.5,South Africa
-25.5,32.25,Mozambique
-25.5,33.0,Mozambique
-25.5,44.25,Madagascar
-25.5,45.0,Madagascar
-25.5,45.75,Madagascar
-25.5,46.5,Madagascar
-24.75,15.0,Namibia
-24.75,15.75,Namibia
-24.75,16.5,Namibia
-24.75,17.25,Namibia
-24.75,18.0,Namibia
-24.75,18.75,Namibia
-24.75,19.5,Namibia
-24.75,20.25,Botswana
-24.75,21.0,Botswana
-24.75,21.75,Botswana
-24.75,22.5,Botswana
-24.75,23.25,Botswana
-24.75,24.0,Botswana
-24.75,24.75,Botswana
-24.75,25.5,Botswana
-24.75,26.25,South Africa
-24.75,27.0,South Africa
-24.75,27.75,South Africa
-24.75,28.5,South Africa
-24.75,29.25,South Africa
-24.75,30.0,South Africa
-24.75,30.75,South Africa
-24.75,31.5,South Africa
-24.75,32.25,Mozambique
-24.75,33.0,Mozambique
-24.75,33.75,Mozambique
-24.75,34.5,Mozambique
-24.75,35.25,Mozambique
-24.75,44.25,Madagascar
-24.75,45.0,Madagascar
